529207782 R.W.P.   Salt Lake City, UT      84115 MNW 1960  0718                 
818079303 N.A.E.   Provo, UT               84604 FNW 1991  1024                 
529787690 T.C.J.   Lapoint, UT             84039 FNW 1962  0828                 
149415340 F.L.Y.   Provo, UT               84604 FNW 1978  0310                 
528148112 G.S.C.   Eden, UT                84310 FNW 1984  1108                 
529446855 S.  R.   Salt Lake City, UT      84128 MNW 1980  0707                 
529103647 K.R.W.   Salt Lake City, UT      84112 FNW 1947  0616                 
191052978 M.S.R.   Salt Lake City, UT      84112 FNW 1975  0823                 
528970885 L.B.C.   Mexican Hat, UT         84531 MNW 1936  0902                 
528939363 E.T.E.   Park City, UT           84068 FNW 1988  0728                 
528491332 L.D.J.   Salt Lake City, UT      84105 MNW 1961  1122                 
529352790 H.D.M.   Salt Lake City, UT      84126 FNW 1997  0222                 
529392558 R.N.E.   Corinne, UT             84307 MNW 1946  0617                 
132550666 H.K.W.   Provo, UT               84603 MNW 1997  0723                 
529679747 A.A.G.   Provo, UT               84601 FNW 1990  0725                 
529197457 B.E.C.   Woodruff, UT            84086 FNW 1992  0821                 
528163439 S.L.F.   Salt Lake City, UT      84112 MNW 1951  1122                 
529292988 Y.P.J.   Monticello, UT          84535 FNW 1986  0627                 
529874253 S.W.J.   Woodruff, UT            84086 MNW 1947  0621                 
053368461 D.L.N.   Salt Lake City, UT      84123 MNW 1981  0422                 
528014361 L.P.T.   Sandy, UT               84070 FNO 1945  0926                 
529646499 C.B.T.   Salt Lake City, UT      84184 MNW 1953  0714                 
170912624 J.L.P.   Salt Lake City, UT      84170 FNW 1969  0327                 
528090443 E.A.L.   Enterprise, UT          84725 FHW 1944  1115                 
528939443 J.D.T.   Layton, UT              84040 MNW 1930  0729                 
529380904 K.E.M.   Sandy, UT               84092 FNO 1942  0916                 
528376810 S.Y.S.   Provo, UT               84602 MNW 1941  0928                 
528374684 E.K.W.   Vernon, UT              84080 MNW 1928  1208                 
528680551 M.J.H.   Provo, UT               84605 FNW 1943  0425                 
068242892 J.G.H.   Provo, UT               84603 MNW 1952  1228                 
528383341 A.S.Y.   Woodruff, UT            84086 FNW 1992  0908                 
529872165 J.N.L.   Salt Lake City, UT      84133 FNW 1939  1001                 
528908263 W.K.H.   Provo, UT               84602 FNW 1995  0111                 
529399492 E.H.C.   Salt Lake City, UT      84117 MNO 1940  0609                 
528616699 J.M.H.   Salt Lake City, UT      84128 MNW 1931  0628                 
544325087 Y.R.M.   Salt Lake City, UT      84180 MNW 1955  0516                 
528801698 J.L.H.   Bonanza, UT             84008 MNW 1930  0925                 
528830058 B.H.S.   Provo, UT               84606 MNO 1979  0506                 
044905089 S.H.C.   Salt Lake City, UT      84152 MNW 1928  0418                 
528969158 T.  S.   Saint George, UT        84770 FNW 1936  1103                 
049477710 C.N.E.   Provo, UT               84605 MNW 1952  0607                 
529018293 Y.S.R.   Provo, UT               84604 MNW 1979  1203                 
077995516 J.W.W.   Ogden, UT               84412 FNW 1990  0207                 
529105349 J.R.Y.   Emery, UT               84522 MNW 1932  0103                 
793439130 W.M.C.   Salt Lake City, UT      84128 FNA 1984  0910                 
